"General Note","Genre","Author Id","Work Id","work_name","Edition Details","binding_book","volume","Edition Id","more_information","Type","Manually changed"
"","פרוזה","87","17","יצחק מאיר בילדותו","","","","","תושיה, וארשה, תרס""ד 1904.","ספר","false"
"","פרוזה","66","18","פת לחם","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","21","33","הַתַּכְרִיך","","זכרונות לבית דוד / על-פי צבי הרמן רֶקְנְדוֹרְף","כרך ב","21-1","ע""פ הוצאת “אחיאסף”, וארשה, 1893–1897","סיפור","false"
"","פרוזה","13","34","מעל המגדל","","","","","ורשה: ספרות, 1912.","ספר","false"
"","פרוזה","46","37","קרית ספר","","","","","","ספר","false"
"","פרוזה","46","40","שני ימים ולילה אחד בבית מלון אורחים","","","","","","ספר","false"
"","פרוזה","66","49","שָׁמָּה","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","186","52","האחת והשנית","","","","","","ספר","false"
"","פרוזה","46","64","אני ישן ולבי ער","","","","","","ספר","false"
"","פרוזה","66","95","מהתחלה","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","154","98","רגעי חיים ומות","","","","","","ספר","false"
"","פרוזה","3","100","תפארת עליזים","","שירים וסיפורים","","3-1","תל אביב: הוצאת קרני","סיפור","false"
"","פרוזה","155","113","האילמת","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","164","138","לא בא אל החוף","","מן המצר","","164-1","","סיפור","false"
"","פרוזה","24","153","גדולים ומפורסמים","","ספר הבדיחה והחידוד ע""פ “ספר הבדיחה והחידוד”","כרך שלישי","24-1","הוצאת דביר, תל אביב 1963","סיפור","true"
"","פרוזה","80","164","הקוזקים של משיח","","פיליטונים","","80-1","","סיפור","false"
"","פרוזה","142","178","מֵעֵבֶר לַנָּהָר","","","","","","ספר","false"
"","פרוזה","89","181","שלמה המלך והדבורה","הוקלד לפי מהדורת דביר תשכ""ה.","מֵאֲגָדוֹת הַמֶּלֶךְ שְׁלֹמֹה","","89-1","","סיפור","false"
"","פרוזה","190","195","צדיק ונושע","","","","","","ספר","false"
"","פרוזה","12","201","פרח תכלת","","","","","","ספר","false"
"","פרוזה","89","208","יום ששי הקצר","","סיפורים","","89-2","","סיפור","false"
"","פרוזה","8","222","בת הכוכב","","בית הניצוץ (מראות ואגדות)","","8-1","","סיפור","false"
"","פרוזה","155","228","יורשי פרעה","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","142","229","הַזְכָּרַת נְשָׁמוֹת","","","","","","ספר","false"
"","פרוזה","164","245","בין החיים והמתים","","סיפורי כפר","","164-2","","סיפור","false"
"","פרוזה","164","251","מכניסי אורחים","","במרחבי עיר","","164-3","","סיפור","false"
"","פרוזה","164","252","שותפים","כל סיפורי מיכה-יוסף בִּן-גָריון (ברדיצ'בסקי), תל אביב: ""עם עובד"", תשי""א","נהרים","","164-4","","סיפור","true"
"","פרוזה","155","253","הצפור מחוץ-לארץ","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","193","255","באביב","","","","","","ספר","false"
"","פרוזה","375","265","אלף לילה ולילה: סִפּוּר הַמֶּלֶךְ עֹמַר אַלְנֻּעמָאן וּשְׁנֵי בָנָיו שַׁרְכָּאן וְצַ'וְא אַלְמַכָּאן","","","","","","ספר","false"
"","פרוזה","151","266","רבע השקל","","","","","ירושלים: [לונץ], תרע""ד 1914","ספר","false"
"","פרוזה","10","271","אַדְמַת קֹדֶשׁ","","שלש החלוצות","ד","10-1","","סיפור","true"
"","פרוזה","151","277","בבית המדרש הישן","","","","","ירושלים: תלפיות, [תרפ-] 1920.","ספר","false"
"","פרוזה","66","290","מן המיצר","","עוללות","","66-3","","סיפור","false"
"","פרוזה","186","293","השמועה","","","","","","ספר","false"
"","פרוזה","70","305","שרה זרחי","","בכפר ובעבודה","","70-1","","סיפור","false"
"","פרוזה","15","315","הָרוֹעָה מִכְּפַר שׁוּנֵם","","דמויות שחר","1","15-1","","סיפור","true"
"","פרוזה","66","379","נורא","","עוללות","","66-3","","סיפור","false"
"","פרוזה","217","380","החטא ועונשו","","","","","","ספר","false"
"","פרוזה","66","388","בינו לבינו","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","396","אגב אורחא","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","408","אסונות","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","66","410","חלל","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","411","ראש-חדש מאי","","עוללות","","66-3","","סיפור","false"
"","פרוזה","155","413","באגף המשוגעים","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","218","415","הַזָּר","","","","","","ספר","false"
"","פרוזה","128","420","רבי דוב","","כתבים עבריים","","128-1","ירושלים: מוסד ביאליק, תשל""ו","סיפור","false"
"","פרוזה","66","431","שמה","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","436","מא. עד מ.","","עוללות","","66-3","","סיפור","false"
"","פרוזה","92","446","מעשה אלפס: אהבה-לבבית טהורה","","","","","ע“פ מהדורת ירושלים תרצ”ד","ספר","false"
"","פרוזה","178","467","בשביל דברים של מה בכך","","סיפורים","","178-1","תל-אביב: ד. רכגולד, תש""ם 1980","סיפור","false"
"","פרוזה","66","474","מַזָּל","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","66","480","עצבּים","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","486","מן הזווית","","עוללות","","66-3","","סיפור","false"
"","פרוזה","15","489","אשת מדנים","","שבע חופות מתוך העזבון","","15-2","","סיפור","false"
"","פרוזה","66","490","הנדיל","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","494","גַּזְלָנִים","","זעיר שם","","66-2","","סיפור","false"
